Generation,Name,Party,BirthYear,BillCount,BioguideID,OfficialPhotoURL,PhotoURL
Gen X,"Mann, Tracey",R,1976.0,64,M000871,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M000871.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M000871.jpg
Gen X,"Malliotakis, Nicole",R,1980.0,126,M000317,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M000317.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M000317.jpg
Gen X,"Mace, Nancy",R,1977.0,162,M000194,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M000194.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M000194.jpg
Gen X,"Fischbach, Michelle",R,1965.0,59,F000470,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000470.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000470.jpg
Gen X,"Feenstra, Randy",R,1969.0,96,F000446,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000446.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000446.jpg
Gen X,"Fallon, Pat",R,1967.0,58,F000246,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000246.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000246.jpg
Gen X,"Donalds, Byron",R,1978.0,140,D000032,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/D000032.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/D000032.jpg
Gen X,"Bice, Stephanie I.",R,1973.0,75,B000740,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B000740.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B000740.jpg
Gen X,"Schrier, Kim",D,1968.0,93,S001216,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001216.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001216.jpg
Gen X,"Cline, Ben",R,1972.0,47,C001118,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001118.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001118.jpg
Gen X,"Roy, Chip",R,1972.0,202,R000614,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/R000614.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/R000614.jpg
Gen X,"Escobar, Veronica",D,1969.0,69,E000299,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/E000299.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/E000299.jpg
Gen X,"Fletcher, Lizzie",D,1975.0,55,F000468,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000468.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/F000468.jpg
Gen X,"Rose, John W.",R,1965.0,39,R000612,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/R000612.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/R000612.jpg
Gen X,"Johnson, Dusty",R,1976.0,121,J000301,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/J000301.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/J000301.jpg
Gen X,"Houlahan, Chrissy",D,1967.0,104,H001085,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001085.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/H001085.jpg
Gen X,"Craig, Angie",D,1972.0,110,C001119,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001119.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001119.jpg
Gen X,"Boyle, Brendan F.",D,1977.0,126,B001296,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001296.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001296.jpg
Gen X,"Lee, Susie",D,1966.0,85,L000590,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000590.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000590.jpg
Gen X,"Sherrill, Mikie",D,1972.0,118,S001207,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001207.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001207.jpg
Gen X,"Pappas, Chris",D,1980.0,140,P000614,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/P000614.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/P000614.jpg
Gen X,"Guest, Michael",R,1970.0,50,G000591,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000591.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000591.jpg
Gen X,"Stauber, Pete",R,1966.0,91,S001212,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001212.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001212.jpg
