Generation,Name,Party,BirthYear,BillCount
Silent Generation,"Wilson, Frederica S.",D,1942,161
Silent Generation,"Waters, Maxine",D,1938,601
Silent Generation,"Norton, Eleanor Holmes",D,1937,1094
Silent Generation,"Scott, David",D,1945,109
Silent Generation,"Schakowsky, Janice D.",D,1944,444
Silent Generation,"Davis, Danny K.",D,1941,398
Silent Generation,"Rogers, Harold",R,1937,144
Silent Generation,"Foxx, Virginia",R,1943,249
Silent Generation,"Cleaver, Emanuel",D,1944,219
Silent Generation,"Carter, John R.",R,1941,140
Silent Generation,"Clyburn, James E.",D,1940,121
Silent Generation,"DeLauro, Rosa L.",D,1943,623
Silent Generation,"Hoyer, Steny H.",D,1939,375
Silent Generation,"Risch, James E.",R,1943,626
Silent Generation,"Sanders, Bernard",I,1941,1145
Silent Generation,"McConnell, Mitch",R,1942,1294
Silent Generation,"King, Angus S., Jr.",I,1944,451
Silent Generation,"Grassley, Chuck",R,1933,2438
Silent Generation,"Durbin, Richard J.",D,1944,2063
